@relation dataObj

@attribute Earliest_PLV_Ch numeric
@attribute Duration_PLV_Pos_ch numeric
@attribute Peak_PLV_ch numeric
@attribute Average_PLV_ch numeric
@attribute Class_resected_channel numeric

@data
0,0,0.096883,0.039568,1
0,0,0.061019,0.034927,1
0,0,0.064384,0.031699,1
0,0,0.05745,0.030789,1
0,0,0.078498,0.038108,1
0,0,0.079832,0.027474,1
0,0,0.080295,0.049248,1
0,0,0.049948,0.030681,1
0,0,0.086331,0.048267,1
0,0,0.059064,0.027559,1
0,0,0.048718,0.024456,0
0,0,0.053053,0.031102,0
0,0,0.057936,0.029841,0
0,0,0.080502,0.040373,0
0,0,0.089013,0.042864,0
0,0,0.080066,0.039816,1
0,0,0.096929,0.043702,1
0,0,0.072047,0.032807,1
0,0,0.075529,0.049696,1
0,0,0.069108,0.040253,0
0,0,0.059776,0.035773,0
0,0,0.084448,0.055463,0
0,0,0.116273,0.052647,0
0,0,0.07991,0.042276,0
0,0,0.051799,0.032498,0
0,0,0.062261,0.031868,1
0,0,0.056114,0.033612,1
0,0,0.049379,0.024921,1
0,0,0.054804,0.027717,1
0,0,0.081448,0.066646,0
0,0,0.049165,0.027531,0
0,0,0.101195,0.036349,1
1,1,0.178398,0.046019,1
0,0,0.045458,0.019399,0
0,0,0.065568,0.030188,0
0,0,0.048641,0.02793,0
0,0,0.066037,0.038239,0
0,0,0.042299,0.024488,0
0,0,0.045949,0.02515,0
0,0,0.066643,0.039157,0
0,0,0.037051,0.023045,0
0,0,0.059447,0.029747,0
0,0,0.04845,0.026297,0
0,0,0.029364,0.01612,0
0,0,0.05306,0.023131,0
0,0,0.055478,0.034684,0
0,0,0.075941,0.048422,0
0,0,0.071052,0.032395,0
0,0,0.055068,0.02839,0
0,0,0.058767,0.04623,0
0,0,0.052933,0.034467,0
0,0,0.03633,0.021093,0
0,0,0.060272,0.027722,0
0,0,0.069011,0.04591,0
0,0,0.076401,0.038575,0
0,0,0.054194,0.026515,1
0,0,0.121145,0.078566,1
0,0,0.129355,0.072498,1
0,0,0.120052,0.06771,1
0,0,0.073364,0.042268,1
0,0,0.059493,0.028084,1
0,0,0.072303,0.036047,1
0,0,0.062349,0.038186,1
0,0,0.077346,0.033232,1
0,0,0.053171,0.032864,1
0,0,0.049591,0.022474,1
0,0,0.079148,0.045093,1
0,0,0.062711,0.036127,0
0,0,0.063188,0.035029,0
0,0,0.085189,0.043319,0
0,0,0.126848,0.095868,1
0,0,0.130365,0.085142,1
0,0,0.130099,0.06631,1
0,0,0.071827,0.038977,1
0,0,0.086286,0.030347,1
0,0,0.084192,0.034567,1
0,0,0.078949,0.04449,1
0,0,0.079991,0.038552,1
0,0,0.095878,0.048543,1
0,0,0.070217,0.046413,1
0,0,0.066836,0.034419,0
0,0,0.04779,0.029792,0
0,0,0.056997,0.031609,0
0,0,0.098294,0.041771,0
0,0,0.059197,0.031248,0
1,2,0.196977,0.095287,1
0,0,0.107094,0.059778,1
0,0,0.054849,0.02847,1
0,0,0.070381,0.034,1
0,0,0.042536,0.020333,0
0,0,0.094389,0.051531,0
0,0,0.039204,0.02589,0
0,0,0.046437,0.026899,0
0,0,0.061362,0.027364,0
0,0,0.055264,0.026481,0
0,0,0.057495,0.029758,1
0,0,0.045224,0.025395,1
0,0,0.095325,0.039542,1
0,0,0.051176,0.033116,1
0,0,0.059299,0.02845,0
0,0,0.075977,0.041017,0
0,0,0.050949,0.027293,1
0,0,0.05796,0.030078,1
0,0,0.123064,0.039096,0
0,0,0.071673,0.036775,0
0,0,0.0762,0.043616,0
0,0,0.04927,0.027969,0
0,0,0.062021,0.025257,0
0,0,0.077148,0.032358,0
0,0,0.049622,0.02348,0
0,0,0.041133,0.026325,0
0,0,0.059424,0.034617,0
0,0,0.053229,0.035463,0
0,0,0.058991,0.026172,0
0,0,0.032782,0.019691,0
0,0,0.075902,0.040856,0
0,0,0.049632,0.025482,0
0,0,0.057015,0.026713,0
0,0,0.058381,0.030357,0
